adult,belongs_to_collection,budget,genres,homepage,id,imdb_id,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count,keywords
False,,30000000,Animation;Comedy;Family,http://toystory.disney.com/toy-story,862,tt0114709,en,Toy Story,"Led by Woody, Andy's toys live happily in his room until Andy's birthday brings Buzz Lightyear onto the scene. Afraid of losing his place in Andy's heart, Woody plots against Buzz. But when circumstances separate Buzz and Woody from their owner, the duo eventually learns to put aside their differences.",21.946943,/rhIRbceoE9lR4veEXuwCC2wARtG.jpg,Pixar Animation Studios,,1995-10-30,373554033,81,en,Released,,Toy Story,False,7.7,5415,jealousy;toy;boy;friendship;friends;rivalry;boy next door;new toy;toy comes to life
False,,60000000,Action;Crime;Drama;Thriller,,949,tt0113277,en,Heat,"Obsessive master thief, Neil McCauley leads a top-notch crew on various insane heists throughout Los Angeles while a mentally unstable detective, Vincent Hanna pursues him without rest. Each man recognizes and respects the ability and the dedication of the other even though they are aware their cat-and-mouse game may end in violence.",17.924927,/zMyfPUelumio3tiDKPffaUpsQTD.jpg,Regency Enterprises;Forward Pass;Warner Bros.,,1995-12-15,187436818,170,en;es,Released,A Los Angeles Crime Saga,Heat,False,7.7,1886,robbery;detective;bank;obsession;chase;shooting;thief;honor;murder;suspense;heist;betrayal;money;gang;cat and mouse;criminal mastermind;cult film;ex-con;heist movie;one last job;loner;bank job;neo-noir;gun fight;crime epic
False,,58000000,Adventure;Action;Thriller,http://www.mgm.com/view/movie/757/Goldeneye/,710,tt0113189,en,GoldenEye,James Bond must unmask the mysterious head of the Janus Syndicate and prevent the leader from utilizing the GoldenEye weapons system to inflict devastating revenge on Britain.,14.686036,/5c0ovjT41KnYIHYuF4AWsTe3sKh.jpg,United Artists;Eon Productions,,1995-11-16,352194034,130,en;ru;es,Released,No limits. No fears. No substitutes.,GoldenEye,False,6.6,1194,cuba;falsely accused;secret identity;computer virus;secret base;secret intelligence service;kgb;satellite;special car;cossack;electromagnetic pulse;time bomb;st. petersburg russia;ejection seat;red army
False,,98000000,Action;Adventure,,1408,tt0112760,en,Cutthroat Island,"Morgan Adams and her slave, William Shaw, are on a quest to recover the three portions of a treasure map. Unfortunately, the final portion is held by her murderous uncle, Dawg. Her crew is skeptical of her leadership abilities, so she must complete her quest before they mutiny against her. This is made yet more difficult by the efforts of the British crown to end her pirate raids.",7.284477,/odM9973kIv9hcjfHPp6g6BlyTIJ.jpg,Le Studio Canal+;Laurence Mark Productions;Metro-Goldwyn-Mayer (MGM);Carolco Pictures,,1995-12-22,10017322,119,en;la,Released,The Course Has Been Set. There Is No Turning Back. Prepare Your Weapons. Summon Your Courage. Discover the Adventure of a Lifetime!,Cutthroat Island,False,5.7,137,exotic island;treasure;map;ship;scalp;pirate
False,,52000000,Drama;Crime,,524,tt0112641,en,Casino,The life of the gambling paradise – Las Vegas – and its dark mafia underbelly.,10.137389,/xo517ibXBDdYQY81j0WIG7BVcWq.jpg,Universal Pictures;Légende Entreprises;Syalis DA;De Fina-Cappa,,1995-11-22,116112375,178,en,Released,No one stays at the top forever.,Casino,False,7.8,1343,poker;drug abuse;1970s;overdose;illegal prostitution
False,,16500000,Drama;Romance,,4584,tt0114388,en,Sense and Sensibility,"Rich Mr. Dashwood dies, leaving his second wife and her daughters poor by the rules of inheritance. Two daughters are the titular opposites.",10.673167,/lA9HTy84Bb6ZwNeyoZKobcMdpMc.jpg,Columbia Pictures Corporation;Mirage Enterprises,,1995-12-13,135000000,136,en,Released,Lose your heart and come to your senses.,Sense and Sensibility,False,7.2,364,bowling;based on novel;servant;country life;jane austen;inheritance;military officer;period drama;rainstorm;horse and carriage;decorum
False,,4000000,Crime;Comedy,,5,tt0113101,en,Four Rooms,It's Ted the Bellhop's first night on the job...and the hotel's very unusual guests are about to place him in some outrageous predicaments. It seems that this evening's room service is serving up one unbelievable happening after another.,9.026586,/eQs5hh9rxrk1m4xHsIz1w11Ngqb.jpg,Miramax Films;A Band Apart,,1995-12-09,4300000,98,en,Released,"Twelve outrageous guests. Four scandalous requests. And one lone bellhop, in his first day on the job, who's in for the wildest New year's Eve of his life.",Four Rooms,False,6.5,539,hotel;new year's eve;witch;bet;hotel room;sperm;los angeles;hoodlum;woman director;episode film
False,,30250000,Comedy;Thriller;Crime,,8012,tt0113161,en,Get Shorty,"Chili Palmer is a Miami mobster who gets sent by his boss, the psychopathic ""Bones"" Barboni, to collect a bad debt from Harry Zimm, a Hollywood producer who specializes in cheesy horror films. When Chili meets Harry's leading lady, the romantic sparks fly. After pitching his own life story as a movie idea, Chili learns that being a mobster and being a Hollywood producer really aren't all that different.",12.669608,/vWtDUUgQAsVyvRW4mE75LBgVm2e.jpg,Jersey Films;Metro-Goldwyn-Mayer (MGM),,1995-10-20,115101622,105,en,Released,"The mob is tough, but it’s nothing like show business.",Get Shorty,False,6.4,305,gambling;miami;based on novel;job;murder;travel;mafia;money;debt;mobster;business;hollywood;gangster;crime;violence;drug;producer;con
False,,3600000,Drama;Romance,http://www.mgm.com/title_title.do?title_star=LEAVINGL,451,tt0113627,en,Leaving Las Vegas,"Ben Sanderson, an alcoholic Hollywood screenwriter who lost everything because of his drinking, arrives in Las Vegas to drink himself to death. There, he meets and forms an uneasy friendship and non-interference pact with prostitute Sera.",10.332025,/37qHRJxnSh5YkuaN9FgfNnMl3Tj.jpg,United Artists;Intial Productions,,1995-10-27,49800000,112,en,Released,I Love You... The Way You Are.,Leaving Las Vegas,False,7.1,365,individual;prostitute;alcohol;casino;love at first sight;lovesickness;film producer;screenwriter;hotel room;dying and death;rage and hate;unsociability;alcoholism;los angeles;alcohol abuse;attempted suicide
False,,18000000,Fantasy;Science Fiction;Adventure,,902,tt0112682,fr,La Cité des Enfants Perdus,"A scientist in a surrealist society kidnaps children to steal their dreams, hoping that they slow his aging process.",9.822423,/eVo6ewq4akfyJYy3GXkMsLNzEJc.jpg,Procirep;Constellation Productions;France 3 Cinéma;Claudie Ossard Productions;Eurimages;MEDIA Programme of the European Union;Cofimage 5;Televisión Española (TVE);Tele München Fernseh Produktionsgesellschaft (TMG);Club d'Investissement Média;Canal+ España;Elías Querejeta Producciones Cinematográficas S.L.;Centre National de la Cinématographie (CNC);Victoires Productions;Constellation;Lumière Pictures;Canal+;Studio Image;Cofimage 4;Ossane;Phoenix Images,,1995-05-16,1738611,108,cn;fr,Released,Where happily ever after is just a dream.,The City of Lost Children,False,7.6,308,clone;dream;island;eye;dystopia;aging;friendship;rescue;children;girl;childhood
False,,29500000,Science Fiction;Thriller;Mystery,,63,tt0114746,en,Twelve Monkeys,"In the year 2035, convict James Cole reluctantly volunteers to be sent back in time to discover the origin of a deadly virus that wiped out nearly all of the earth's population and forced the survivors into underground communities. But when Cole is mistakenly sent to 1990 instead of 1996, he's arrested and locked up in a mental hospital. There he meets psychiatrist Dr. Kathryn Railly, and patient Jeffrey Goines, the son of a famous virus expert, who may hold the key to the mysterious rogue group, the Army of the 12 Monkeys, thought to be responsible for unleashing the killer disease.",12.297305,/6Sj9wDu3YugthXsU0Vry5XFAZGg.jpg,Universal Pictures;Atlas Entertainment;Classico,,1995-12-29,168840000,129,en;fr,Released,The future is history.,Twelve Monkeys,False,7.4,2470,schizophrenia;philadelphia;cassandra syndrom;stockholm syndrome;time travel;post-apocalyptic;dystopia;lethal virus;monkey;subterranean
False,,20000000,Fantasy;Drama;Comedy;Thriller,,577,tt0114681,en,To Die For,"Susan wants to work in television and will therefore do anything it takes, even if it means killing her husband. A very dark comedy from independent director Gus Van Sant with a brilliant Nicole Kidman in the leading role.",10.448481,/zCREx8trzejNieDLUsRuwLU0cS3.jpg,The Rank Organisation;Columbia Pictures Corporation,,1995-05-20,21284514,106,en,Released,All she wanted was a little attention.,To Die For,False,6.7,177,adultery;winter;obsession;television;new hampshire;narcissistic personality disorder
False,,0,Music;Drama;Family,,2054,tt0113862,en,Mr. Holland's Opus,"In 1965, passionate musician Glenn Holland takes a day job as a high school music teacher, convinced it's just a small obstacle on the road to his true calling: writing a historic opus. As the decades roll by with the composition unwritten but generations of students inspired through his teaching, Holland must redefine his life's purpose.",7.137117,/jYEKdpVvRV3KdyHMUVYyg0KTVSY.jpg,Hollywood Pictures;The Charlie Mopic Company;PolyGram Filmed Entertainment;Interscope Communications,,1995-12-29,106269971,137,en,Released,"Of All the Lives He Changed, the One That Changed the Most Was His Own.",Mr. Holland's Opus,False,6.9,115,composer;mentor;deaf-mute;musical;apprentice;private life;music;disabled
False,,0,Comedy;Romance,,4482,tt0113149,fr,Gazon maudit,"After learning of her husband's infidelities, a housewife invites an itinerant lesbian to move in with them. None of their lives will ever be the same again.",2.518051,/dDB8mMKRL28gHsRcGPoMQYrzaXg.jpg,Renn Productions;Les Films Flam;TF1 Films Production;Canal+,,1995-02-08,0,95,fr;es,Released,,French Twist,False,6.0,43,love triangle;southern france;estate agent;menage a trois;van;woman director
False,,900000,Drama;Comedy,,880,tt0112379,nl,Antonia,"After World War II, Antonia and her daughter, Danielle, go back to their Dutch hometown, where Antonia's late mother has bestowed a small farm upon her. There, Antonia settles down and joins a tightly-knit but unusual community. Those around her include quirky friend Crooked Finger, would-be suitor Bas and, eventually for Antonia, a granddaughter and great-granddaughter who help create a strong family of empowered women.",2.030174,/bIQp2SJrVXiQttv9hXeqliQox0K.jpg,Bergen Film;Bard Entertainments;NPS Televisie,,1995-09-12,0,102,nl,Released,A motion picture that celebrates everything you love about life.,Antonia's Line,False,7.2,26,suicide;underdog;free love;philosophy;rape;mentally disabled;loss of mother;village life;world war ii;feminism;indian summer ;family history;widow;peasant;village;mathematics;freedom;right and justice;single;homosexuality;mother daughter relationship;domestic violence;university;woman director
False,,18000000,Drama;Mystery;Science Fiction;Thriller,,2045,tt0118040,en,Unforgettable,"Ray Liotta stars as a medical examiner who has been acquitted for his wife's murder but many still question his innocence. Obsessed with finding his wife's killer, a possible solution presents itself in an experimental serum designed by a neurobiology Linda Fiorentino which has the ability to transfer memories from one person to another, but not without consequences. Liotta driven to solve the case injects himself with the serum, bringing him closer and closer to finding her killer but bringing him closer to death.",2.464425,/qQek3X5Yv0iLZqQ98KWIKtE3x4m.jpg,Metro-Goldwyn-Mayer (MGM);Dino De Laurentiis Company;Spelling Films,,1996-02-23,0,106,en,Released,He loved her. He lost her. He won't let her memory die... until it tells him who killed her.,Unforgettable,False,5.3,22,wife husband relationship;experiment;police;murder;suspense;memory;forensic;gunman;animal experimentation
False,,24000000,Drama;Romance,,688,tt0112579,en,The Bridges of Madison County,Photographer Robert Kincaid wanders into the life of housewife Francesca Johnson for four days in the 1960s.,5.951077,/czRuGEx9Yhnh6nApirTLPToxHNu.jpg,Amblin Entertainment;Malpaso Productions;Warner Bros.,,1995-05-28,182016617,135,en,Released,The path of Francesca Johnson's future seems destined due to an unexpected fork in the road...,The Bridges of Madison County,False,7.3,397,farewell;adultery;love at first sight;photographer;wife husband relationship;iowa;love of one's life;mother role;bridge;housewife;love letter;peasant;marriage crisis;photography;unsociability;secret love;nature documentary
False,,1300000,Crime;Drama,,103,tt0075314,en,Taxi Driver,"A mentally unstable Vietnam War veteran works as a night-time taxi driver in New York City where the perceived decadence and sleaze feeds his urge for violent action, attempting to save a preadolescent prostitute in the process.",14.092713,/yxq4pk1xGmro8tQABuQIrWrvdaE.jpg,Columbia Pictures Corporation;Italo/Judeo Productions;Bill/Phillips,,1976-02-07,28262574,114,en;es,Released,"On every street in every city, there's a nobody who dreams of being a somebody.",Taxi Driver,False,8.1,2632,vietnam veteran;taxi;obsession;drug dealer;night shift;vigilante;alienation;misanthrope;shot to death;illegal prostitution;loner
False,,7000000,Comedy;Romance,,2074,tt0116324,en,Flirting with Disaster,"Adopted as a child, new father Mel Colpin (Ben Stiller) decides he cannot name his son until he knows his birth parents, and determines to make a cross-country quest to find them. Accompanied by his wife, Nancy (Patricia Arquette), and an inept yet gorgeous adoption agent, Tina (Tea Leoni), he departs on an epic road trip that quickly devolves into a farce of mistaken identities, wrong turns, and overzealous and love-struck ATF agents (Josh Brolin, Richard Jenkins).",5.579088,/pxxYa68L05ZR4vMwc6yB8KqXslo.jpg,Miramax Films,,1996-03-22,14702438,92,en,Released,"A comedy about sex, love, family and other accidents waiting to happen.",Flirting with Disaster,False,6.3,66,lsd;looking for  birth parents;half-brother;independent film
False,,17000000,Fantasy,,27793,tt0110647,en,The NeverEnding Story III,A young boy must restore order when a group of bullies steal the magical book that acts as a portal between Earth and the imaginary world of Fantasia.,6.252377,/driZCEKL79PaCsZNICSU3xd59sk.jpg,Studio Babelsberg;Dieter Geissler Filmproduktion;Cinevox Filmproduktion GmbH;Warner Bros.;Miramax,,1994-10-26,0,95,en,Released,It's a brand new beginning in the adventure that never ends,The Neverending Story III: Escape from Fantasia,False,4.4,105,flying;magic
False,,52000000,Drama,,568,tt0112384,en,Apollo 13,"The true story of technical troubles that scuttle the Apollo 13 lunar mission in 1971, risking the lives of astronaut Jim Lovell and his crew, with the failed journey turning into a thrilling saga of heroism. Drifting more than 200,000 miles from Earth, the astronauts work furiously with the ground crew to avert tragedy.",18.761467,/6JQ9z3V9x4vlU2GSZx2yNO0PvuX.jpg,Imagine Entertainment;Universal Pictures,,1995-06-30,355237933,140,en,Released,"Houston, we have a problem.",Apollo 13,False,7.3,1637,moon;florida;nasa;spaceman;race against time;houston;based on true story;space;rescue;survival;disaster;explosion;astronaut;imax;saturn v rocket;courage;hypothermia;apollo program;cape kennedy;lunar mission;spacecraft accident
